name,supports_settings,supports_skipping_indices,supports_sort_order,supports_ttl,supports_replication,supports_deduplication
RabbitMQ,1,0,0,0,0,0
Kafka,1,0,0,0,0,0
MySQL,0,0,0,0,0,0
HDFS,0,0,0,0,0,0
S3,0,0,0,0,0,0
MaterializedView,0,0,0,0,0,0
View,0,0,0,0,0,0
JDBC,0,0,0,0,0,0
Join,1,0,0,0,0,0
Set,0,0,0,0,0,0
Dictionary,0,0,0,0,0,0
GenerateRandom,0,0,0,0,0,0
LiveView,0,0,0,0,0,0
MergeTree,1,1,1,1,0,0
Memory,0,0,0,0,0,0
Buffer,0,0,0,0,0,0
MongoDB,0,0,0,0,0,0
URL,0,0,0,0,0,0
ReplicatedVersionedCollapsingMergeTree,1,1,1,1,1,1
ReplacingMergeTree,1,1,1,1,0,0
ReplicatedSummingMergeTree,1,1,1,1,1,1
COSN,0,0,0,0,0,0
ReplicatedAggregatingMergeTree,1,1,1,1,1,1
ReplicatedCollapsingMergeTree,1,1,1,1,1,1
File,0,0,0,0,0,0
ReplicatedGraphiteMergeTree,1,1,1,1,1,1
ReplicatedMergeTree,1,1,1,1,1,1
ReplicatedReplacingMergeTree,1,1,1,1,1,1
VersionedCollapsingMergeTree,1,1,1,1,0,0
SummingMergeTree,1,1,1,1,0,0
Distributed,0,0,0,0,0,0
TinyLog,1,0,0,0,0,0
GraphiteMergeTree,1,1,1,1,0,0
CollapsingMergeTree,1,1,1,1,0,0
Merge,0,0,0,0,0,0
AggregatingMergeTree,1,1,1,1,0,0
ODBC,0,0,0,0,0,0
Null,0,0,0,0,0,0
StripeLog,1,0,0,0,0,0
Log,1,0,0,0,0,0
